country_name,country_code,period,pop_growth,pop_growth_instr,investment_instr,trade_instr,govt_instr,fertility,life_expectancy,trade_to_gdp,inflation,domestic_investment,govt_consumption,near_coast,tropical,colony_esp_prt,ethnic,language,religion,legal_origin,allstpi1980,allstpi1990,allstpi2000,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,catholic,orthodox,protestant,hindu,jewish,muslim,eastern,non-religious,other,catholic_1900,protestant_1900,orthodox_1900,muslim_1900,jewish_1900,hindu_1900,eastern_1900,non-religious_1900,other_1900,avexpr,rgdppw,ln_rgdppw,log_income,initial_gdp,initial_gdp_instr,initial_hc,initial_hc_instr,cum_inflation,growth,hc_growth,phys_capital,pc_growth,period_1,period_2,period_3
Finland,FIN,1995-2004,0.024060339851201592,0.020190255757250235,22.342209506760167,54.071012499282446,22.78552287620095,1.751,77.499756097561,68.49891762100638,1.3431020502710607,22.20429556028083,20.88598959151889,8.79128,0,0,0.13149730999999987,0.14120750000000004,0.2531044,NA,NA,NA,NA,171678.7328125,174502.3453125,5.1818957999999995,2.2583281993865967,1705.4103359587677,3.12541401386261,109803.828125,155745.86328125,168798.6703125,171720.765625,761047.50625,0.013980219140648842,0.8899687170982361,0.7814604222774506,181433.65,138673.82578125,186772.165625,843639.475,0.696192741394043,0.9593132495880127,0.9402307152748108,0.5729470670223236,0.08251393586397171,0.038822329789400103,0.9174433243704394,0.0015136560366863084,0.011259205337342445,0.75918379648117,0.0011363528791051522,2.3801202772144632e-4,0.005232593969833907,0.0010897937080979537,0.17129080375232142,9.707876942372303e-4,2.948765204570586e-4,0.9714706966457796,0.016586804275709546,0,0,0,0,0,0,9.727272987365723,75772.71164807535,11.23283843793401,12.046205670724008,11.10522533329417,10.916306470999613,3.0446407794952393,2.9600329399108887,0.1423439274917071,0.22957300287520055,0.05487993914558084,373295.8198645932,0.05638659792416032,FALSE,FALSE,TRUE
France,FRA,1985-1994,0.04608544717987731,0.02132172664473192,23.142061733417716,47.50035331662178,22.318435788076833,1.786,76.46463414634147,44.16213304851054,3.0389070620050798,22.21598983392596,22.33665669908903,34.6184,0,0,0.10321684080803145,0.12209809999999999,0.4028581,2,2.875,2.875,3.2083330154418945,1508671.2875,1511797.2375,58.0310402,23.2375057220459,1644.8438070255058,2.7770819664001465,1108776.74375,1495801.9875,1496061.1625,1475804.4875,6368069.3,0.15643443465232848,1.0123700261116029,1.007848209142685,1815599.7375,1386956.775,1849122.1,9734397.9,0.5222585320472717,0.9354205250740051,0.9258766949176789,0.6253009617328644,0.06729140616953373,0.02980524692684412,0.9429824033142925,0.6476133382746982,0.011459608407116949,0.021500397630602828,0.0014485237103398251,0.008999883041774811,0.07573323044499966,0.009677490328042484,0.20171351063729456,0.005255915779213584,0.9808439024390244,0.022012195121951218,2.4390243902439024e-4,0.0012195121951219512,0.002119512195121951,0,0,0.002975609756097561,2.4390243902439024e-4,9.727272987365723,64866.022022500525,11.078019176024187,14.223655138150969,10.958997195789847,11.014263124104996,2.6916892528533936,2.5865206718444824,0.3482635642002003,0.22175136474542984,0.05398997304017808,418641.73628808564,0.19184789349103962,FALSE,TRUE,FALSE
France,FRA,1995-2004,0.052785414597353864,0.017685990776413404,21.55218656082168,44.068661458984785,22.631285064270717,1.833,78.81243902439024,52.0600141448985,1.5646291326938164,20.52486013589123,22.96583465409921,34.6184,0,0,0.10321684080803145,0.12209809999999999,0.4028581,2,2.875,2.875,3.2083330154418945,2006430.175,1999827.8875,60.8713078,25.091979026794434,1559.602753827518,2.8941301107406616,1509827.675,1930431.6875,1967005.325,1967840.9625,7127964.05,0.13151454851031302,1.1180249452590942,1.0610530138015748,2257214.5375,1675810.525,2249819.8,11955999.5,0.6857777416706086,1.0070999920368195,0.9754020392894744,0.6183696150779724,0.07011542990803718,0.03258015476167202,0.9225465196024748,0.6275971822803448,0.011908200896360589,0.022092627495776774,0.0015654869314654402,0.008823301850238845,0.08117252584753756,0.010627413036425374,0.21071324549390252,0.005541915784746433,0.9808439024390244,0.022012195121951218,2.4390243902439024e-4,0.0012195121951219512,0.002119512195121951,0,0,0.002975609756097561,2.4390243902439024e-4,9.727272987365723,79780.52455489569,11.285027830517786,14.506805813467142,11.169080820369516,11.11013816176248,2.846054792404175,2.8011343479156494,0.16778054525577946,0.1845210779467804,0.03880568832656919,476175.50724655075,0.07913758309033009,FALSE,FALSE,TRUE
Gabon,GAB,1985-1994,0.2782550767251678,0.1084730314678767,34.84121186180527,104.28082237148716,16.5124021663864,5.4592,60.1789,88.37500630292767,3.380510164868146,29.33844597088362,17.51727903077306,28.1246,100,0,0.7689600000000001,0.7820833,0.6674408,NA,NA,NA,NA,8760.187255859375,9954.97880859375,0.9388086,0.2854270964860916,NA,1.7344837188720703,6227.83349609375,7209.3419921875,8423.1279296875,9532.055908203125,26244.2353515625,8.623411180451512e-4,0.8224822103977203,0.617821928858757,17321.2837890625,8640.14228515625,11432.00224609375,74826.6453125,0.5988485217094421,1.20483455657959,1.0533891916275024,0.379510834813118,0.0424927132204175,0.04681247025728226,337.0392719644365,0.5051388918929979,0,0.1255956604153264,0,0,0.08807112190710184,0,0.012158751232388142,0.04805261068034857,0.044642857142857144,0.010535714285714285,0,0,0,0,0,0,0.9253571428571429,7.818181991577148,30679.782061730206,10.325192877392263,9.069294362855606,10.513919498921972,10.66523801816683,1.5466572046279907,1.371449589729309,0.2960357624831298,-0.139561588974087,0.2273501285348629,263183.60876459477,-0.16422462467886506,FALSE,TRUE,FALSE
Gabon,GAB,1995-2004,0.24779942964903312,0.11350011795831022,23.031598089272567,85.95094092593975,13.702426544140666,4.5158000000000005,61.0757,91.52178656828848,1.9144590945641777,25.85294370469625,13.42749277413766,28.1246,100,0,0.7689600000000001,0.7820833,0.6674408,NA,NA,NA,NA,12429.2005859375,13164.248828125,1.2156778,0.36395559906959535,NA,2.09888916015625,7501.73974609375,9155.42705078125,12107.23427734375,12762.66943359375,48890.3849609375,0.0014463321887888015,0.5596605956554412,0.3842764437198639,21446.0587890625,9021.9484375,11994.241015625,78963.9703125,0.6441075026988983,1.2168099880218506,0.8923728406429291,0.3399317890405655,0.04603454563766718,0.04758976586163044,605.1509243350026,0.5073008441122289,0,0.12243358851787405,0,0,0.0971125784113093,0,0.01350972359154238,0.03925730693240425,0.044642857142857144,0.010535714285714285,0,0,0,0,0,0,0.9253571428571429,7.818181991577148,33879.97548521944,10.418062745403443,9.404876142478598,10.36515804431945,10.36187717549239,1.9330466985702515,1.765400767326355,0.2038118022956208,0.44265629162594444,0.16858962290011248,217689.09943318684,-0.1397329197546073,FALSE,FALSE,TRUE
"Gambia, The",GMB,1985-1994,0.447778276154525,0.1387972619679056,21.1287427369004,107.94858176624122,34.20109622618977,6.2044,51.185,91.59427806844923,15.684550724823378,16.29660114687227,15.52109949872911,77.3706,89.355,0,0.786402,0.8076314,0.0969684,NA,NA,NA,NA,2663.1177978515625,2701.7452392578125,0.9297850999999999,0.3460811793804169,NA,1.1848140001296996,2573.935595703125,2917.79970703125,2619.714599609375,2625.172314453125,3627.88427734375,NA,NA,NA,2237.011572265625,1940.6313110351562,2071.146520996094,3102.6453857421875,NA,NA,NA,NA,NA,0.030601007305085658,7.846757901163745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.272727012634277,7720.249117034681,8.951098676641504,7.883692782406974,9.020203262729062,8.90600316610979,1.1352171897888184,1.0947542190551758,2.9980469753898062,-0.09190651849244158,0.10403226246816619,8855.44140217226,0.3606425068345832,FALSE,TRUE,FALSE
"Gambia, The",GMB,1995-2004,0.3260323859734622,0.14506071099306928,14.056203847551268,72.8090408321623,13.074881426635883,5.8372,56.7642,54.65580768916012,6.097455172244557,7.586835037380787,10.362924674896789,77.3706,89.355,0,0.786402,0.8076314,0.0969684,NA,NA,NA,NA,3543.149658203125,3715.532958984375,1.303694,0.44216000437736513,NA,1.3084784865379333,3281.6419189453127,3881.6439453125,3492.3246337890623,3637.428955078125,7017.287353515625,NA,NA,NA,3036.5314453125,2433.4483276367187,2810.8565673828125,5927.026416015625,NA,NA,NA,NA,NA,0.03456421680748463,15.85329967172469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.272727012634277,7989.95336400206,8.983533536983844,8.166036159852592,8.908918715745724,8.935247389597308,1.2722705602645874,1.1802821159362793,0.784991644170203,0.26586873825321217,0.06801683079600535,13306.39740535802,0.5035136211003074,FALSE,FALSE,TRUE
Georgia,GEO,1995-2004,-0.15080482129149198,-0.05790164459220111,15.835244739723239,99.97687316363536,9.23439216020169,1.6579,69.541,63.62914061399183,25.27136580411243,24.0583114070854,9.801675659303395,33.1835,0,0,0.4922740000000002,0.47485200000000005,0.6542991,NA,NA,NA,NA,16349.058203125,17746.2578125,4.4947028,1.662119174003601,NA,NA,17004.36826171875,19555.3595703125,15981.2662109375,17102.42353515625,84185.5171875,0.0012190905632451176,NA,NA,23105.4671875,19090.32138671875,23525.780078125,197071.3875,0.7126580536365509,NA,NA,0.3941483676433563,0.05384281184524298,0.03228447176516056,1.764811447360912,0.009378285330579869,0.8269085045104864,0.002288301620661488,0,8.550651650156196e-4,0.10993460521638987,0,0.04151766915847708,4.471097531353952e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9916.70126376735,9.186664352214324,9.69334624635355,8.890576181563597,10.030525285346588,NA,NA,4.92903270376923,0.8447933916056939,NA,118930.24351050946,0.17150621832764396,FALSE,FALSE,TRUE
Germany,DEU,1985-1994,0.04043348575865908,-0.007674772715950111,24.713026776466698,44.52403062094356,20.848945507794966,1.37,75.1949341463415,43.83076718366843,2.520952596963634,24.41927112246044,19.65919554067972,19.7358,0,0,0.16820200000000007,0.1642306,0.6571196,3,3.489285707473755,3.489285707473755,3.4831080436706543,2130612.825,2139358.95,79.0250772,38.78065147399902,1598.2806213499853,3.405010724067688,1550086.975,2150028.9875,2137471.875,2091448.6875,8995109.5,0.23327493518590928,0.8336826503276825,0.8422464311122895,2742916.5,2034136.5,2735802.55,11906241.4,0.5582409262657165,0.8227073371410369,0.8820570349693299,0.6692909896373749,0.05059605129063129,0.034736132621765135,0.9541804928299835,0.3356540308958344,0.016930600687351006,0.34610715800341935,0.001021498307140882,0.0010398400698450364,0.04159551155048471,0.0012845195121099387,0.19957677671715213,8.567459353319218e-4,0.35715980824908633,0.6107314063315772,9.49261948834781e-5,0,0.011391143386017372,0,0,0.002847785846504343,1.1865774360434762e-4,NA,55059.44924129578,10.904568530668687,14.562283800550912,10.677392391619373,10.711297121028105,3.3019967079162598,3.178523540496826,0.2810762079622269,0.5621468552478982,0.05513532614495546,307468.21745629865,0.2909158898160748,FALSE,TRUE,FALSE
Germany,DEU,1995-2004,0.006258607256499124,0.02250301515480866,25.0514132902914,43.576616472861936,19.108009039466765,1.339,77.69170731707318,53.54732386586158,1.4136767030178545,22.46399488426036,19.06749661550908,19.7358,0,0,0.16820200000000007,0.1642306,0.6571196,3,3.489285707473755,3.489285707473755,3.4831080436706543,2927773,2947922.95,81.43049169999999,38.65052185058594,1481.0089693098032,3.5542874574661254,2150892.65,2831795.325,2888540.55,2914826.125,11268145.8,0.20803509056568145,0.9909441828727722,0.9330779790878296,3325196.5,2439736.25,3261530.55,15073570.4,0.7458098292350769,0.9262317478656769,0.9769743800163269,0.6435801029205322,0.05773698464035988,0.035521135106682776,0.9183929195487223,0.3332746302690992,0.017945676334773595,0.3356518591273114,0.0011349981190454245,0.0011128036030454652,0.045578621271025486,0.0014173099101321975,0.21111565860258152,8.449366406039694e-4,0.35715980824908633,0.6107314063315772,9.49261948834781e-5,0,0.011391143386017372,0,0,0.002847785846504343,1.1865774360434762e-4,NA,75706.30922479933,11.233677797771005,14.888090003357762,11.151221339855626,10.928497783139793,3.497631549835205,3.4302666187286377,0.15060559950308883,0.1465946039567217,0.02951759800356234,389803.07868473633,0.15072407072142235,FALSE,FALSE,TRUE
Ghana,GHA,1985-1994,0.2955393752924155,0.12206311872994097,NA,14.770639993671033,8.159069774061921,5.7529,54.9454,44.00354349829015,24.64456044305686,14.31621049351059,10.972748339704147,19.3048,100,0,0.673332,0.6730879000000001,0.7986752,NA,NA,NA,NA,41993.24765625,42169.423046875,14.6103342,6.083682823181152,NA,1.8543071389198302,30789.4482421875,43073.68515625,43547.426953125,43394.49609375,159799.7734375,NA,NA,NA,34897.63359375,31578.86484375,37267.35,131918.1328125,NA,NA,NA,NA,NA,0.053825382888317105,0.035627932680685766,0.1157837398617767,1.4858053580474401e-4,0.2542661743083988,1.9127967463171115e-4,2.655829303548178e-5,0.17427111643705398,4.7457382334240924e-5,0.002870183401179557,0.18048010508891532,0.003409090909090909,0.03272727272727273,0,0.05,0,0,0,0,0.9031818181818182,6.2727274894714355,6893.9024088379165,8.83710444910372,10.641620383877855,8.792731775966343,9.060747410165476,1.7133971452713013,1.5111292600631714,7.791804340547431,0.08743690102058875,0.1619766399775357,21687.095255598262,0.0033032940963881015,FALSE,TRUE,FALSE
Ghana,GHA,1995-2004,0.2502792837710608,0.1210562152188712,18.218716916456582,51.22058173306965,11.8580716319586,4.8065999999999995,57.9426,89.78755312286272,29.23244268801833,23.17500043845326,11.111309623052408,19.3048,100,0,0.673332,0.6730879000000001,0.7986752,NA,NA,NA,NA,56841.073828125,58837.466796875,19.085984,7.2018838882446286,NA,2.101434564590454,47153.001953125,64532.345703125,57771.6734375,59383.290625,216208.834375,NA,NA,NA,53655.578125,47719.554296875,57213.433984375,173255.4984375,NA,NA,NA,NA,NA,0.05659385025501251,0.480596678994643,0.11401275187381436,1.5255140702739243e-4,0.2694261249979787,1.9999489461291147e-4,2.7001599043848463e-5,0.17858888117882776,4.896900165579297e-5,0.0030762499731763777,0.16238487072437816,0.003409090909090909,0.03272727272727273,0,0.05,0,0,0,0,0.9031818181818182,6.2727274894714355,7868.4424271363105,8.968880327372242,10.941030686879776,8.896101554835205,8.834029209767197,2.021250009536743,1.8741180896759033,10.943986995007599,0.16905009322600564,0.07230750375955282,23993.44069846383,0.13440360932558265,FALSE,FALSE,TRUE
Greece,GRC,1985-1994,0.06788672180579951,0.03006958968119058,26.95269251966635,41.591841662622684,17.920919410917783,1.444,76.9001780487805,38.60831863571368,16.69631877898453,24.60187611510219,17.48952180919149,96.2131,0,0,0.15763009984791373,0.02995150000000002,0.1530306,NA,NA,NA,NA,179723.30625,180931.58125,10.2437828,4.015655589103699,2110.1637229531843,2.5142640590667726,141863.715625,194276.4625,178127.31875,177785.3859375,1097310.98125,0.021057501807808875,0.6712431490421296,0.7190970540046692,223018.840625,187166.2046875,240631.7796875,1572440.05,0.5861644804477691,1.1379171013832092,1.1436516880989074,0.4881878197193146,0.07512701451778411,0.02295123562216759,0.5050811672779408,0.00501246290786506,0.9279377065504277,0.002292733400708465,0.001187975222929942,4.934066984411403e-4,0.04306692004452952,0.0013409362056489929,0.023893383553975824,2.7495776349077553e-4,0.019672131147540985,0.0017049180327868853,0.8438688524590164,0.12786885245901639,0.019672131147540985,0,0,3.278688524590164e-4,0,7.818181991577148,44679.42469457173,10.702681797491676,12.092650210695249,10.556808859342194,10.605233932717445,2.4042587280273438,2.2848334312438965,3.661684391271871,0.3178947493658405,0.08718586476735073,391311.94444808806,0.11674475953418592,FALSE,TRUE,FALSE
