country,isocode,period,pop_growth,pop_growth_instr,growth_rate,ki_instr,openk_instr,kg_instr,enrollment_instr,pop,rgdpch,rgdpwok,gr_rgdpwok,kc,kg,ki,openk,life_expectancy,fertility,inflation,enrollment,near_coast,tropical,colony_esp_prt,yr_sch,avexpr,ethnic,language,religion,legal_origin,catholic,orthodox,protestant,hindu,jewish,muslim,eastern,non-religious,other,catholic_1900,protestant_1900,orthodox_1900,muslim_1900,jewish_1900,hindu_1900,eastern_1900,non-religious_1900,other_1900,formalism,ssa,east_asia,latam,period_1,period_2,period_3,french_origin,british_origin,initial_gdp,initial_gdp_instr,initial_hc,initial_hc_instr,cum_inflation,mortality
Spain,ESP,1995-2004,2.897925585671182,2.389452203608265,0.015659073987924696,3.2362461776271685,32.270869936666664,7.081393236833334,109.18613179524733,40838.674,25023.26507,56452.384038,0.015659073987924696,66.543961103,6.7954334889,3.3069975358654853,48.847494777,76.8375609756098,0.3074846997479607,3.051554489588343,4.741112247693409,42.9055,0,0,8.290000000000001,9.681818008422852,0.4164629999999999,0.41321779999999997,0.4513643,2,0.8885844638798642,0.014935575022829217,0.002323862566986729,5.599920199603099e-4,0.001170006557416965,0.018871154267382187,8.724977573319805e-4,0.08078214403284384,3.00503278561213e-4,0.9996914893617022,4.25531914893617e-4,0,1.026595744680851e-4,7.446808510638298e-5,0,0,1.0638297872340425e-4,0,5.444819450378418,0,0,0,0,0,1,0,0,10.852295539122219,10.823426313453549,7.69,6.52,0.35024388644074866,0.013014468279614255
Sri Lanka,LKA,1975-1984,3.179841758927927,2.8607870150220553,0.039090898947087505,3.376745967253386,76.01966319666667,9.4351867645,NA,14858.6984,1287.2968021,3307.0283824,0.039090898947087505,74.231619663,7.3282371424,3.4979319781395617,60.543600004,65.267,1.4727013888606293,11.759670604860665,NA,100,100,0,5.949999999999999,6.045454502105713,0.415,0.4644557,0.4852962,1,0.07701935519178701,8.071826991043258e-5,0.009032374402977406,0.16143653982086517,1.6143653982086517e-5,0.07396215071892938,0.6715186149648927,0.004520223114984225,7.668235641491095e-4,0.0828040862020711,0.022670025188916875,0.00279876854184159,0.06856982927511895,0,0.23173803526448364,0.590162608452281,0,6.968933669185558e-4,3.973809003829956,0,0,0,1,0,0,0,0,7.901479605506604,7.7493443467485275,5.77,5.33,1.9772553945609417,0.01532167864311214
Sri Lanka,LKA,1985-1994,3.079548707485884,2.665273084660786,0.03765524687122434,3.425025121658836,58.06548158333334,7.056586456333333,56.53366343180337,16759.7556,1823.0125031,4679.1306805,0.03765524687122434,77.708409977,7.8150636686,3.1427168346048626,59.888528085,68.661,1.2928075180264267,10.799356198281313,4.367769102451775,100,100,0,7.359999999999999,6.045454502105713,0.415,0.4644557,0.4852962,1,0.07001118047391464,5.6004412047016e-5,0.011654516268352427,0.13458636583519168,5.209309277406608e-6,0.08430213049079896,0.6881105440874968,0.00554720817036327,9.656880114480374e-4,0.0828040862020711,0.022670025188916875,0.00279876854184159,0.06856982927511895,0,0.23173803526448364,0.590162608452281,0,6.968933669185558e-4,4.307142734527588,0,0,0,0,1,0,0,0,8.334682955063414,8.124807556650705,6.93,6.13,1.7617605400401488,0.014564308705087313
Sri Lanka,LKA,1995-2004,3.0495545107645508,2.709655375502613,0.03019778979566272,3.0980416124526466,62.69520195,7.3430956885,84.92628479003905,18924.7253,2642.6960303,6417.4387534,0.03019778979566272,77.697009952,7.341306531,3.0823080303749313,70.852837664,71.927,0.9230677161531787,9.1016651760371,NA,100,100,0,9.15,6.045454502105713,0.415,0.4644557,0.4852962,1,0.06923249439415104,5.3258427839969714e-5,0.011945865364505207,0.13160301317011686,3.994382087997729e-6,0.085451017132117807,0.6899540917677862,0.0056613176209609414,9.877840611479183e-4,0.0828040862020711,0.022670025188916875,0.00279876854184159,0.06856982927511895,0,0.23173803526448364,0.590162608452281,0,6.968933669185558e-4,3.548583984375,0,0,0,0,0,1,0,0,8.671006882697805,8.463577065342779,8.65,7.79,1.3784065427444272,0.013902984970873245
Sudan,SDN,1985-1994,3.583206344032352,3.2182743541729852,0.011329958629253477,0.7135794826085772,19.573101593333334,20.231558886666665,NA,25895.5109,1188.1278402,3979.1685225,0.011329958629253477,77.807649072,22.917401722,0.7544307050640836,11.2192711184,53.934,1.906277922670647,74.49783779889282,NA,2.92113,20.679,0,1.295,4,0.714712,0.7189638,0.4307163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,NA,NA,8.173401523956993,8.22143804723725,1.09,0.9,207.8175176862752,0.0185411799606927
Sudan,SDN,1995-2004,3.5554468543911795,3.119727750813048,0.028748099446063196,1.0788318902948657,11.577265331666666,26.845977219999998,NA,33679.6027,1392.585711,4614.6110037,0.028748099446063196,76.294755891,14.1727630307,2.3540661452649814,18.6600525,49.732,1.8193746362610284,33.75840884687952,NA,2.92113,20.679,0,2.205,4,0.714712,0.7189638,0.4307163,NA,0.040211685921620756,0.0035552989487380266,0.027024074469177706,1.9696736421885538e-5,1.7871556212907727e-6,0.8990336545358979,7.049758557176793e-5,0.01009647864560069,0.02870981851510715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,8.291065013782763,8.308165638196273,1.97,1.5,12.128717816328075,0.020107777688409878
Suriname,SUR,1985-1994,2.6962029964268996,2.753575605076361,-0.02387678674919535,2.7417444816616805,82.74273564833334,31.890754768333334,43.9686164855957,391.5719,9243.3112817,25087.749727,-0.02387678674919535,44.286949867000004,33.169021716,2.8584537407031494,71.497742354,62.034,1.3596936793227117,69.43930138995971,NA,25.757,100,0,NA,4.681818008422852,0.7332,0.33098970000000005,0.7909842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,NA,NA,10.330828599888186,10.35038464028579,NA,NA,53.85906131677147,0.01612019215269046
Suriname,SUR,1995-2004,3.136803228454609,2.3983784835370305,0.02056091306802851,3.1943993215545374,107.00953034166666,26.386683976666667,NA,429.0582,7704.1820702000005,21733.394908000002,0.02056091306802851,35.063829775,14.9861347762,3.9730196131833497,111.922831535,64.23,1.183872132618933,50.62544306901366,NA,25.757,100,0,NA,4.681818008422852,0.7332,0.33098970000000005,0.7909842,NA,0.2302306063908409,0,0.1588649639455697,0.19608015064781065,4.196259692107274e-4,0.15648082037920827,0.011858087090133987,0.0476766082530616,0.07580407433851498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,NA,NA,9.909870715733907,9.954229254549572,NA,NA,28.150534036903654,0.015569048731122527
Swaziland,SWZ,1985-1994,3.8687381278541872,3.173061392780516,0.01667453643403489,4.076105716422039,132.18155640166665,4.770509396833333,NA,865.9596,3437.8658279,11814.2496039,0.01667453643403489,54.264336672,5.6855619229,3.9302553560928892,83.765814217,57.846,1.8783957758876018,13.089469980963326,NA,36.2172,2.876,0,4.27,NA,0.05820000000000003,0.17224209999999995,0.4444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,NA,NA,9.208275733977224,9.029507552742338,4.19,3.55,2.396685464083188,0.017287280019361754
Swaziland,SWZ,1995-2004,3.506941927353757,3.1290852110949614,-0.0268557866618897,3.937362007535339,93.19361927333333,6.508240337,NA,1126.5226,3399.9445384,10623.8157283,-0.0268557866618897,74.199526207,7.4567666274,3.334671588294516,131.88902755,63.072,1.6582280766035324,8.094365427896912,NA,36.2172,2.876,0,4.05,NA,0.05820000000000003,0.17224209999999995,0.4444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,NA,NA,9.41637242590964,9.416336489174853,4.24,4.35,1.1700361716687855,0.015854895991882292
