countrycode,period,country,region,year,pop,hc,rgdpna,rnna,rtfpna,rgdppw,gv,inv,opres,cpi,yinit,gy,gh,pc,gk,gtfp,gpop,kkz96,kgatrstr,lang
FIN,2000-2009,Finland,Europe & Central Asia,2004.5,5.2566928,3.2224106550216676,213422.1078125,949972.98125,1.018034315109253,40578.3284129539,21.17383965019786,3.1301583053622326,5.9065286335094775,1.702347922659577,10.509587729893115,0.12134181501488106,0.05844380333250477,12.104136072016248,0.19936980294439766,-0.011652893348304393,0.029743517386623,1.808556967720633,0,0.1412
FIN,2010-2019,Finland,Europe & Central Asia,2014.5,5.4615921,3.4194486856460573,233778.3671875,1155531.325,0.986397796869278,42797.93591717283,23.82454818784772,3.1357389493045775,7.366093597096455,1.2939446990184933,10.651083317309311,0.06142622768209467,0.050596200245975,12.261959993704748,0.13277066039666696,-0.01900123771790865,0.0310064777137797,1.808556967720633,0,0.1412
FJI,1970-1979,Fiji,East Asia & Pacific,1974.5,0.5708040999999999,1.809572124481201,3863.9018310546876,6862.92890625,NA,6737.757391603656,NA,NA,NA,NA,8.645027515922141,0.3775094058046407,0.11561150741538212,9.386270868475307,0.6491052888066249,NA,0.19406526023797355,NA,NA,NA
FJI,1980-1989,Fiji,East Asia & Pacific,1984.5,0.6940309,2.04935998916626,5122.103369140625,11227.665625,0.8948007345199585,7384.758529724153,17.78728013896073,2.8735889762529947,-7.932797309820343,7.453177022416935,8.926100349202217,0.061112146822505466,0.12190850061987206,9.691721505174797,-0.00755938594554535,-0.0503697483560828,0.14054150198250612,NA,NA,NA
FJI,1990-1999,Fiji,East Asia & Pacific,1994.5,0.7688022,2.2966556310653687,6835.827783203125,12573.766015625,0.9469001471996308,8879.860141407862,17.00190711416304,2.79799342129107,14.11968459365353,4.185929986979912,9.060155630452423,0.13125659890297736,0.09179289623184796,9.702234172203056,0.03449227940061242,0.024590927823435343,0.10668800518273404,NA,NA,NA
FJI,2000-2009,Fiji,East Asia & Pacific,2004.5,0.8258786,2.5137208223342897,8449.93251953125,16355.31943359375,0.9568971633911133,10228.190908387487,16.84942817212073,2.9882154703211024,19.57542459893679,3.3650721410117335,9.16052259430386,0.07659780538910012,0.07164900899971624,9.89263814249242,0.23579543693041397,0.019390905312092456,0.0525655790462709,NA,NA,NA
FJI,2010-2019,Fiji,East Asia & Pacific,2014.5,0.8712317999999999,2.6559080362319945,10513.68759765625,22690.9751953125,0.9794654428958893,12057.000051024514,18.99745458800314,2.9321425176235225,7.8764723214738375,3.2263621125485153,9.25667259983171,0.29205677620834114,0.034825533519093135,10.166542583979481,0.38373270407091437,0.030901865607860558,0.03504811483360435,NA,NA,NA
FRA,1970-1979,France,Europe & Central Asia,1974.5,53.615026799999995,2.4376194715499877,1252054.46875,6335524.5,0.7983307480812073,23317.616953638808,18.98332083668668,3.2451224055826846,-21.197439620051888,8.849335187725583,9.900499950853037,0.3299121495233369,0.110477041426956,11.678000295752126,0.3918843198347452,0.14169589327886065,0.05695744491417228,1.4184529518149664,0,0.1221
FRA,1980-1989,France,Europe & Central Asia,1984.5,56.517299099999995,2.6816856622695924,1614854.85,8631355.55,0.8924592077732086,28550.19050411589,22.19232114780656,3.11930689233796,-13.293656490894218,7.384644881596497,10.196836301829254,0.1816942131714236,0.0743757704872881,11.935560868329224,0.18347262195411707,0.11934673331350536,0.05037360550225515,1.4184529518149664,0,0.1221
FRA,1990-1999,France,Europe & Central Asia,1994.5,59.3835243,2.841649317741394,2019793.8875,10846371.1,0.9693638324737549,33996.089528810466,22.8249156177657,3.026379725077116,-12.725001781949182,1.8703005786692164,10.387518563101255,0.14047360595017871,0.029050774423177703,12.114819593049907,0.14683678811487474,0.05577973675730411,0.03948578137563984,1.4184529518149664,0,0.1221
FRA,2000-2009,France,Europe & Central Asia,2004.5,62.8011954,2.965074872970581,2504515.325,13244587.7,1.026814693212509,39861.51372756294,22.89889152328299,3.0604821741403287,-3.0089809906759593,1.7284189154583496,10.551861300501452,0.04676215169785702,0.05112934653656041,12.258364763125257,0.1307286617912129,-0.028660553824995896,0.061177106149967214,1.4184529518149664,0,0.1221
FRA,2010-2019,France,Europe & Central Asia,2014.5,66.3247143,3.1425742864608766,2783460.15,15679677.5,0.995891672372818,41956.11877927992,23.74135021263288,3.0643191714362854,3.997162423126898,1.1180592291215052,10.611404410461896,0.08456167673552613,0.05683214125357304,12.372982232134536,0.09826522887911342,-0.002648301031700939,0.03693073999011259,1.4184529518149664,0,0.1221
GAB,1970-1979,Gabon,Sub-Saharan Africa,1974.5,0.6445350999999999,1.218054723739624,13256.55908203125,35451.0841796875,1.98796226978302,20323.690438684414,14.759564249034039,3.710971791897226,30.527814004982634,11.063690662465278,9.400808198645073,0.691603806578644,0.16801791563008034,10.89448604727211,1.562882768021128,-0.12346583024948006,0.20273402634249307,-0.6236725878675959,1,0.7821
GAB,1980-1989,Gabon,Sub-Saharan Africa,1984.5,0.8197333,1.5387863039970398,15862.22080078125,69482.843359375,1.2748872280120849,19443.999466702877,18.33760539665649,3.505017978602584,21.401142186094752,6.492055140422704,9.92724890564195,-0.10605832653269172,0.2598261749065783,11.347261446073556,0.013353276759811504,-0.19205241621089697,0.2717546342699166,-0.6236725878675959,1,0.7821
GAB,1990-1999,Gabon,Sub-Saharan Africa,1994.5,1.0723235,1.9193655729293824,20271.4912109375,76353.00234375,1.2783969640731812,18897.984363632313,13.15032816979442,3.219673346108306,15.42573163307062,3.6968097206170736,9.838229876649603,-0.0691477052600803,0.1800927190462991,11.177315197120771,-0.1545299108865564,-0.04087292948073591,0.26284060462059555,-0.6236725878675959,1,0.7821
GAB,2000-2009,Gabon,Sub-Saharan Africa,2004.5,1.382917,2.273189163208008,21323.0716796875,81169.1765625,1.1046061754226684,15494.54050366359,14.133296558325009,3.157649106748016,11.864299787850383,1.9802041690856038,9.729180504505436,-0.18356444830007254,0.13942310068276176,10.985015732779626,-0.1747746816486857,-0.08665713958018868,0.2772542251457228,-0.6236725878675959,1,0.7821
GAB,2010-2019,Gabon,Sub-Saharan Africa,2014.5,1.9071563999999999,2.6717605113983156,28326.9634765625,106124.74609375,1.038170176744461,14845.431368486632,13.38656946875807,3.287373067497278,6.869393757584939,2.220664982258385,9.56027015438966,0.03840945031016605,0.17361736627974905,10.925133735765806,0.048579334623472095,-0.06470388470686263,0.3376796335291292,-0.6236725878675959,1,0.7821
